level,slot,file,words,paras,sents,msl,lex,over_A1,cw_A1,unk_A1,over_A2,cw_A2,unk_A2,over_B1,cw_B1,unk_B1,over_B2,cw_B2,unk_B2
B2,B2+,高级1_02.txt,168,3,21,8.0,215,0.277,148,8,0.1419,148,8,0.0878,148,8,0.0068,148,8
B2,B2+,高级1_03.txt,166,3,15,11.07,356,0.1745,149,6,0.0537,149,6,0.0201,149,6,0.0067,149,6
B2,B2+,高级1_04.txt,176,3,20,8.8,208,0.2294,170,4,0.1118,170,4,0.0118,170,4,0.0118,170,4
B2,B2+,高级1_05.txt,159,3,14,11.36,340,0.2157,153,4,0.0719,153,4,0.0065,153,4,0.0065,153,4
B2,B2+,高级1_06.txt,176,2,16,11.0,239,0.2339,171,4,0.1287,171,4,0.0819,171,4,0.0,171,4
B2,B2+,高级1_07.txt,188,3,22,8.55,194,0.2554,184,6,0.1141,184,6,0.0326,184,6,0.0217,184,6
B2,B2+,高级1_08.txt,162,3,16,10.12,263,0.2069,145,5,0.0897,145,5,0.069,145,5,0.0138,145,5
B2,B2+,高级1_09.txt,183,3,17,10.76,348,0.2647,170,5,0.1412,170,5,0.0471,170,5,0.0118,170,5
B2,B2+,高级1_10.txt,188,3,18,10.44,248,0.2012,169,7,0.0828,169,7,0.0414,169,7,0.0178,169,7
B2,B2+,高级1_11.txt,149,3,15,9.93,278,0.2446,139,3,0.1151,139,3,0.036,139,3,0.0072,139,3
B2,B2+,高级1_12.txt,166,3,15,11.07,338,0.2914,151,5,0.0596,151,5,0.0199,151,5,0.0,151,5
B2,B2+,高级1_13.txt,156,3,17,9.18,226,0.2568,148,6,0.1622,148,6,0.0541,148,6,0.027,148,6
B2,B2+,高级1_14.txt,185,2,21,8.81,200,0.2045,176,1,0.0966,176,1,0.0795,176,1,0.0114,176,1
B2,B2+,高级1_15.txt,193,3,19,10.16,239,0.1947,190,2,0.0842,190,2,0.0158,190,2,0.0,190,2
B2,B2+,高级3_01.txt,177,3,19,9.32,264,0.269,171,3,0.1637,171,3,0.1228,171,3,0.0175,171,3
B2,B2+,高级3_02.txt,181,3,19,9.53,302,0.1724,174,4,0.0632,174,4,0.0115,174,4,0.0057,174,4
B2,B2+,高级3_03.txt,153,3,18,8.5,317,0.3617,141,6,0.1631,141,6,0.0709,141,6,0.0071,141,6
B2,B2+,高级3_04.txt,190,3,12,15.83,520,0.1868,182,5,0.0824,182,5,0.0275,182,5,0.0,182,5
B2,B2+,高级3_05.txt,168,3,15,11.2,270,0.2207,145,7,0.069,145,7,0.0276,145,7,0.0138,145,7
B2,B2+,高级3_06.txt,185,3,16,11.56,381,0.3466,176,4,0.1648,176,4,0.0568,176,4,0.0,176,4
B2,B2+,高级3_07.txt,180,3,23,7.83,161,0.2561,164,4,0.061,164,4,0.0305,164,4,0.0183,164,4
B2,B2+,高级3_08.txt,207,3,19,10.89,321,0.2558,172,24,0.1163,172,24,0.0581,172,24,0.0233,172,24
B2,B2+,高级3_09.txt,210,3,19,11.05,283,0.2398,196,6,0.0714,196,6,0.0204,196,6,0.0,196,6
B2,B2+,高级3_10.txt,235,3,30,7.83,220,0.2788,226,4,0.177,226,4,0.0841,226,4,0.0442,226,4
B2,B2+,高级3_11.txt,271,3,22,12.32,370,0.2451,253,11,0.1304,253,11,0.0316,253,11,0.0079,253,11
B2,B2+,高级3_12.txt,251,4,28,8.96,203,0.2282,241,6,0.0747,241,6,0.0373,241,6,0.0166,241,6
B2,B2+,高级3_13.txt,293,5,30,9.77,243,0.291,268,8,0.1231,268,8,0.0709,268,8,0.0485,268,8
B2,B2+,高级3_14.txt,294,3,34,8.65,243,0.1966,290,3,0.0828,290,3,0.0241,290,3,0.0034,290,3
B2,B2+,高级3_15.txt,271,3,19,14.26,386,0.2,240,9,0.075,240,9,0.0125,240,9,0.0,240,9
B2,B2+,高级4_01.txt,299,3,33,9.06,283,0.2243,272,10,0.0588,272,10,0.0221,272,10,0.0074,272,10
B2,B2+,高级4_02.txt,281,3,29,9.69,321,0.1693,254,6,0.0591,254,6,0.0197,254,6,0.0039,254,6
B2,B2+,高级4_03.txt,274,3,26,10.54,288,0.1954,261,4,0.0613,261,4,0.0077,261,4,0.0,261,4
B2,B2+,高级4_04.txt,264,3,19,13.89,565,0.3125,240,6,0.1708,240,6,0.0542,240,6,0.0333,240,6
B2,B2+,高级4_05.txt,288,4,30,9.6,296,0.2344,273,10,0.1172,273,10,0.0403,273,10,0.0,273,10
B2,B2+,高级4_06.txt,280,3,28,10.0,389,0.3026,271,6,0.107,271,6,0.048,271,6,0.0037,271,6
B2,B2+,高级4_07.txt,272,5,26,10.46,253,0.2917,264,7,0.1515,264,7,0.0455,264,7,0.0076,264,7
B2,B2+,高级4_08.txt,270,5,23,11.74,478,0.4033,243,9,0.1893,243,9,0.1111,243,9,0.0165,243,9
B2,B2+,高级4_09.txt,127,3,34,3.74,90,0.5054,93,11,0.3871,93,11,0.1828,93,11,0.0323,93,11
B2,B2+,高级4_10.txt,132,3,30,4.4,64,0.265,117,8,0.1282,117,8,0.0342,117,8,0.0085,117,8
B2,B2+,高级4_11.txt,89,3,23,3.87,262,0.4286,63,10,0.3333,63,10,0.0952,63,10,0.0317,63,10
B2,B2+,高级4_12.txt,156,4,39,4.0,147,0.307,114,17,0.2193,114,17,0.1053,114,17,0.0439,114,17
B2,B2+,高级4_13.txt,159,4,39,4.08,116,0.3778,135,7,0.2148,135,7,0.0519,135,7,0.0,135,7
B2,B2+,高级4_14.txt,131,3,32,4.09,98,0.3333,108,11,0.2315,108,11,0.1111,108,11,0.0,108,11
B2,B2+,高级4_15.txt,130,9,27,4.81,63,0.303,99,15,0.2323,99,15,0.0606,99,15,0.0,99,15
B2,B2+,高级5_01.txt,246,3,29,8.48,251,0.2748,222,13,0.1532,222,13,0.0946,222,13,0.0495,222,13
B2,B2+,高级5_02.txt,258,3,20,12.9,440,0.312,250,7,0.18,250,7,0.08,250,7,0.032,250,7
B2,B2+,高级5_03.txt,256,3,25,10.24,351,0.2899,238,8,0.1261,238,8,0.063,238,8,0.0042,238,8
B2,B2+,高级5_04.txt,263,5,23,11.43,381,0.2749,251,9,0.1394,251,9,0.0478,251,9,0.0159,251,9
B2,B2+,高级5_05.txt,290,3,26,11.15,323,0.3038,260,15,0.1462,260,15,0.0615,260,15,0.0192,260,15
B2,B2+,高级5_06.txt,244,3,33,7.39,327,0.3138,239,6,0.1925,239,6,0.0251,239,6,0.0126,239,6
B2,B2+,高级5_07.txt,279,3,22,12.68,280,0.3374,243,11,0.0864,243,11,0.0494,243,11,0.0247,243,11
B2,B2+,高级5_08.txt,291,3,28,10.39,324,0.3262,279,7,0.1505,279,7,0.043,279,7,0.0143,279,7
B2,B2+,高级5_09.txt,298,2,24,12.42,410,0.3276,293,5,0.198,293,5,0.0717,293,5,0.0102,293,5
B2,B2+,高级5_10.txt,306,3,33,9.27,273,0.2527,277,14,0.0939,277,14,0.0325,277,14,0.0108,277,14
B2,B2+,高级5_11.txt,306,3,26,11.77,322,0.2041,294,9,0.0714,294,9,0.0238,294,9,0.0034,294,9
B2,B2+,高级5_12.txt,310,3,28,11.07,439,0.2699,289,9,0.1142,289,9,0.0138,289,9,0.0,289,9
B2,B2+,高级5_13.txt,318,5,36,8.83,246,0.2895,304,11,0.1349,304,11,0.0724,304,11,0.0164,304,11
B2,B2+,高级5_14.txt,284,3,33,8.61,206,0.2305,269,9,0.0818,269,9,0.0186,269,9,0.0112,269,9
B2,B2+,高级5_15.txt,332,5,32,10.38,311,0.165,297,22,0.0505,297,22,0.0135,297,22,0.0067,297,22
B2,B2+,高级6_01.txt,332,3,31,10.71,313,0.2329,322,7,0.059,322,7,0.0186,322,7,0.0093,322,7
B2,B2+,高级6_02.txt,335,3,32,10.47,233,0.2669,326,7,0.0828,326,7,0.0061,326,7,0.0031,326,7
B2,B2+,高级6_03.txt,321,3,34,9.44,229,0.227,304,8,0.1184,304,8,0.0362,304,8,0.0033,304,8
B2,B2+,高级6_04.txt,306,2,23,13.3,391,0.1794,301,3,0.093,301,3,0.0465,301,3,0.0033,301,3
B2,B2+,高级6_05.txt,353,3,41,8.61,203,0.2485,334,10,0.1257,334,10,0.0299,334,10,0.006,334,10
B2,B2+,高级6_06.txt,319,2,17,18.76,687,0.183,306,7,0.0882,306,7,0.0229,306,7,0.0,306,7
B2,B2+,高级6_07.txt,306,3,23,13.3,474,0.2962,287,12,0.1394,287,12,0.0174,287,12,0.0035,287,12
B2,B2+,高级6_08.txt,354,3,30,11.8,329,0.1497,334,9,0.0629,334,9,0.0299,334,9,0.006,334,9
B2,B2+,高级6_09.txt,330,5,32,10.31,282,0.239,318,8,0.0881,318,8,0.0314,318,8,0.0094,318,8
B2,B2+,高级6_10.txt,341,6,21,16.24,535,0.1982,328,10,0.0793,328,10,0.0396,328,10,0.0122,328,10
B2,B2+,高级6_11.txt,338,4,36,9.39,268,0.2386,306,16,0.1046,306,16,0.0523,306,16,0.0033,306,16
B2,B2+,高级6_12.txt,342,3,26,13.15,431,0.1735,317,10,0.0757,317,10,0.0126,317,10,0.0063,317,10
B2,B2+,高级6_13.txt,339,4,29,11.69,397,0.386,329,5,0.1641,329,5,0.0334,329,5,0.0152,329,5
B2,B2+,高级6_14.txt,341,6,24,14.21,417,0.295,322,6,0.1118,322,6,0.0373,322,6,0.0031,322,6
B2,B2+,高级6_15.txt,332,3,33,10.06,351,0.2952,315,10,0.1397,315,10,0.019,315,10,0.0032,315,10
B2,B2+,高级7_01.txt,323,3,31,10.42,272,0.1781,292,4,0.0377,292,4,0.0137,292,4,0.0,292,4
B2,B2+,高级7_02.txt,315,3,28,11.25,332,0.1846,298,10,0.047,298,10,0.0168,298,10,0.0101,298,10
B2,B2+,高级7_03.txt,309,3,23,13.43,371,0.1987,302,5,0.1026,302,5,0.0232,302,5,0.0099,302,5
B2,B2+,高级7_04.txt,338,3,27,12.52,400,0.1692,325,8,0.08,325,8,0.0246,325,8,0.0031,325,8
B2,B2+,高级7_05.txt,281,3,29,9.69,342,0.322,264,13,0.1705,264,13,0.0341,264,13,0.0076,264,13
B2,B2+,高级7_06.txt,313,3,25,12.52,419,0.2343,303,6,0.0594,303,6,0.0264,303,6,0.0033,303,6
B2,B2+,高级7_07.txt,298,3,25,11.92,388,0.2125,287,7,0.0732,287,7,0.0209,287,7,0.0,287,7
B2,B2+,高级7_08.txt,320,5,26,12.31,340,0.1763,312,7,0.0705,312,7,0.0353,312,7,0.016,312,7
B2,B2+,高级7_09.txt,312,3,26,12.0,454,0.2838,296,7,0.1149,296,7,0.0236,296,7,0.0101,296,7
B2,B2+,高级7_10.txt,338,3,32,10.56,329,0.2082,317,9,0.0757,317,9,0.0252,317,9,0.0,317,9
B2,B2+,高级7_11.txt,304,4,30,10.13,377,0.213,277,10,0.1047,277,10,0.0253,277,10,0.0,277,10
B2,B2+,高级7_12.txt,336,7,34,9.88,305,0.2492,297,12,0.1044,297,12,0.0438,297,12,0.0034,297,12
B2,B2+,高级7_13.txt,338,2,20,16.9,553,0.2769,307,18,0.1433,307,18,0.0163,307,18,0.0,307,18
B2,B2+,高级7_14.txt,333,3,30,11.1,388,0.2742,310,8,0.1097,310,8,0.0613,310,8,0.0194,310,8
B2,B2+,高级7_15.txt,310,2,20,15.5,536,0.3344,299,6,0.1706,299,6,0.0569,299,6,0.01,299,6
B2,B2+,高级8_01.txt,343,3,33,10.39,341,0.2913,309,12,0.1262,309,12,0.055,309,12,0.0032,309,12
B2,B2+,高级8_02.txt,353,3,35,10.09,329,0.3232,328,16,0.189,328,16,0.0183,328,16,0.0091,328,16
B2,B2+,高级8_03.txt,362,5,24,15.08,486,0.17,347,7,0.0865,347,7,0.0317,347,7,0.0058,347,7
B2,B2+,高级8_04.txt,330,3,24,13.75,464,0.2127,315,9,0.1111,315,9,0.0286,315,9,0.0032,315,9
B2,B2+,高级8_05.txt,333,3,26,12.81,375,0.2862,325,5,0.1446,325,5,0.0554,325,5,0.0154,325,5
B2,B2+,高级8_06.txt,354,6,34,10.41,326,0.295,339,7,0.1386,339,7,0.0383,339,7,0.0206,339,7
B2,B2+,高级8_07.txt,314,7,24,13.08,454,0.276,308,4,0.1136,308,4,0.0519,308,4,0.0195,308,4
B2,B2+,高级8_08.txt,331,5,32,10.34,455,0.3032,310,13,0.1387,310,13,0.0613,310,13,0.0097,310,13
B2,B2+,高级8_09.txt,333,7,26,12.81,447,0.2839,310,7,0.1452,310,7,0.0548,310,7,0.0161,310,7
B2,B2+,高级8_10.txt,356,7,34,10.47,319,0.2514,350,10,0.0914,350,10,0.0429,350,10,0.02,350,10
B2,B2+,高级8_11.txt,346,5,23,15.04,487,0.2229,323,7,0.1084,323,7,0.0372,323,7,0.0062,323,7
B2,B2+,高级8_12.txt,342,3,28,12.21,480,0.2419,310,8,0.0968,310,8,0.029,310,8,0.0097,310,8
B2,B2+,高级8_13.txt,341,5,31,11.0,479,0.3758,322,14,0.1925,322,14,0.0683,322,14,0.0217,322,14
B2,B2+,高级8_14.txt,357,5,26,13.73,533,0.3006,326,11,0.1779,326,11,0.0613,326,11,0.0092,326,11
B2,B2+,高级8_15.txt,363,3,29,12.52,436,0.3333,333,11,0.1772,333,11,0.0661,333,11,0.045,333,11
